time,DRAM,CPU,Iteration
3414.387339,28152465,437978108,0
3424.761225,6671482,102945964,0
3428.336293,12596978,163760715,2
3434.491294,6116231,105523003,0
3436.148107,4636976,71258544,2
3444.494705,5675422,111202664,0
3454.491293,5539788,114203559,0
3461.329956,18107096,238121880,18
3464.489504,5912781,113457574,0
3471.332119,7103814,104675293,18
3473.155098,24676853,396694608,2
3474.489169,6162855,116255018,0
3481.308995,7052951,103403727,18
3483.260572,6184048,111134847,2
3484.488501,6535848,115712484,0
3487.602515,9066263,110812717,12
3491.320875,6167094,107727051,18
3493.257548,6633335,111694336,2
3494.490082,6247627,113610162,0
3497.594174,6900364,99131266,12
3501.30689,6696913,110270182,18
3503.259019,6531609,112864176,2
3504.488813,6616380,115356445,0
3507.614201,6688436,101250542,12
3511.327462,6824070,112525092,18
3513.256745,6285773,117899577,2
3514.492337,6281535,116797553,0
3517.598421,5933973,99928114,12
3521.310699,6285773,115746393,18
3523.259873,6523133,117441813,2
3523.829735,20340813,296783447,4
3524.488349,5607605,118662516,0
3527.594721,6489224,104454889,12
3531.309297,6641812,117458767,18
3533.258374,5620320,115475125,2
3534.401653,5293952,104573567,4
3534.490207,5853441,117611356,0
3537.62095,6612142,105539957,12
3537.69893,9019639,128953721,16
3541.309515,6273058,117323134,18
3543.258313,6018745,118018256,2
3543.824786,6095039,96113417,4
3544.499184,5747477,118170844,0
3547.614985,6264581,107676189,12
3548.164579,9057787,135311551,16
3550.83484,11219448,140482584,10
3551.30803,6167094,117526584,18
3553.256717,5798340,118052165,2
3553.823925,6205241,108320448,4
3554.491479,6438362,116543240,0
3555.860485,3314548,51998562,16
3557.594142,6230672,108693440,12
3559.886747,6603665,95350478,10
3561.303646,5624559,117882622,18
3563.257764,6434123,119340685,2
3563.825211,6514655,109998915,4
3564.487001,5599127,117373996,0
3565.860587,6705390,105014377,16
3567.596032,6650289,112236871,12
3569.824777,5929735,103454589,10
3570.466153,13194613,198262532,14
3571.329086,5768670,119442410,18
3573.256226,6014506,118255615,2
3573.823827,5866156,111304390,4
3573.973769,2153185,31450060,14
3574.48987,6175571,117611356,0
3575.858323,5980598,109168159,16
3577.593788,6239149,116644965,12
3579.822797,6718106,104132759,10
3581.306893,5611843,118476020,18
3583.037212,5599128,95163981,14
3583.258226,6319681,118815104,2
3583.822598,6404453,114407009,4
3584.488261,5993314,118357340,0
3585.85638,5739000,110643175,16
3587.593391,5942451,115848118,12
3589.822646,7019043,106065538,10
3591.30821,5709330,119052463,18
3593.042882,5938212,108489990,14
3593.256597,6044176,119391547,2
3593.824866,5993314,115610759,4
3594.490002,6006029,118815104,0
3595.856037,5772908,116017659,16
3597.594892,5844964,117001003,12
3599.825455,6489223,109778510,10
3601.3067,5692376,117831760,18
3603.036346,5531311,109659831,14
3603.258854,6069607,118018257,2
3603.822871,5760192,115848117,4
3604.490168,6862216,117865669,0
3605.856039,5781386,116322836,16
3607.59578,4870096,105455187,12
3608.080865,15356275,202416314,6
3609.823226,6103516,115763346,10
3611.30574,5743239,119154189,18
3613.037642,5764432,111117893,14
3613.256901,6103516,118730333,2
3613.8251,6323921,116882324,4
3614.493126,6819831,116899278,0
3615.855699,5544027,116526285,16
3616.807453,5251567,83516438,6
3617.595531,5654230,115848117,12
3617.807049,25723775,423617892,8
3619.822692,5616082,114305285,10
3621.308717,5743239,119238959,18
3623.040192,5264282,113169352,14
3623.260094,5683899,118086073,2
3623.824156,5739000,116153293,4
3624.491704,6421407,113915337,0
3625.85774,5429585,116831462,16
3626.717018,6849501,106353760,6
3627.057369,5353292,95503066,8
3627.59584,6154378,114763048,12
3629.821835,5569458,117543538,10
3631.308141,5090501,118916830,18
3633.258791,5942451,118543837,2
3633.724204,6290012,126241048,14
3633.825306,6141662,115390354,4
3634.493073,7269118,109693740,0
3635.863496,5552504,117967394,16
3636.71703,7069905,111304389,6
3637.058125,5976359,110863579,8
3637.595842,5374484,118577746,12
3639.860427,5573697,117662218,10
3641.308787,5751716,119866265,18
3643.038607,5073547,104387071,14
3643.26032,6463792,118492974,2
3643.825425,6239150,111423069,4
3644.491128,5802578,101453993,0
3645.85781,5917020,117221408,16
3646.717036,6315444,110439725,6
3647.059551,6468031,112728543,8
3647.596059,5357531,118459065,12
3649.822715,5501641,117645264,10
3651.308272,5828010,118882921,18
3653.037687,5933974,116712783,14
3653.25668,5293952,118255615,2
3653.822638,5476210,116424560,4
3654.490714,6201003,115458170,0
3655.856577,5361769,118560791,16
3656.717226,6955464,110354953,6
3657.058134,6743537,115780301,8
3657.594195,5599128,118543837,12
3659.82418,5967882,117560492,10
3661.322557,5984836,118967692,18
3663.039244,5832248,117289225,14
3663.25846,5298191,117679172,2
3663.822646,5658467,117746989,4
3664.490459,6022983,113830567,0
3665.859541,5459255,118781196,16
3666.716145,6205241,113016764,6
3667.057658,5849202,117475721,8
3667.595413,4798041,119323731,12
3669.914596,5874634,118899875,10
3672.731941,6811354,129699707,18
3673.037928,5548265,119289822,14
3673.259846,6853739,116136339,2
3673.824966,5751716,117899577,4
3674.490489,6586710,117577446,0
3675.858651,5798340,117882623,16
3676.717212,5857680,110609267,6
3677.058616,5565220,117068821,8
3677.59353,5276998,118103027,12
3680.316099,5866156,118340387,10
3681.996283,6896125,100589328,18
3683.039026,5467733,117967393,14
3683.258193,6730822,113067627,2
3683.823961,5577935,118916829,4
3684.489802,7425944,116034614,0
3685.882445,5959405,117255316,16
3686.716454,6544325,113762749,6
3687.056255,5289713,117492675,8
3687.592417,5107456,118035210,12
3689.824517,5836487,118628608,10
3691.310476,6514655,100335015,18
3693.039224,6586710,116543241,14
3693.415195,5560981,116899278,2
3693.824558,5438063,118238661,4
3694.502245,6404453,115949843,0
3695.858343,6069607,115593805,16
3696.716185,6637573,116594103,6
3697.057406,6116232,117713081,8
3697.592339,5026923,118103028,12
3699.823451,5683899,118815104,10
3701.309016,6442600,116000706,18
3703.039029,6497702,115712483,14
3703.258904,6535848,114915636,2
3703.823644,5789863,118967692,4
3704.490486,6879171,115390354,0
3705.860886,5637275,116729736,16
3706.716021,6256104,116339789,6
3707.055842,5209181,107608371,8
3707.592768,5149841,118476020,12
3709.824133,6226434,116068522,10
3711.959873,7676019,125596788,18
3713.037816,6302727,114305285,14
3713.258382,6569756,116695828,2
3713.824112,5874634,118306478,4
3714.490665,6586710,115763346,0
3715.858226,5620321,117119683,16
3716.71773,5984836,115898980,6
3717.058261,5870395,117272271,8
3717.595828,6290012,115542941,12
3719.969834,6747775,114780002,10
3721.310404,6412929,105726454,18
3723.038179,6629096,113779703,14
3723.258548,5739000,100674100,2
3723.825644,6116231,117967394,4
3724.489232,6535848,118255615,0
3725.860051,5086263,119628906,16
3726.71318,5679660,118306478,6
3727.05563,5544027,118408203,8
3727.596663,6807116,111728245,12
3729.837726,7120769,114220513,10
3731.310678,6785923,114746094,18
3733.037455,5548265,117238363,14
3733.257116,7082621,126715766,2
3734.105894,6332397,117780897,4
3734.496621,6239150,116390652,0
3735.857652,5544026,118950738,16
3736.714728,5777147,118238661,6
3737.057528,5794101,119340685,8
3737.595893,6353590,115898980,12
3739.824041,5370246,103454590,10
3741.309608,6438361,117628309,18
3743.036574,5628798,118899875,14
3743.260308,6099277,104726155,2
3743.826454,7781983,109812419,4
3744.488936,5840725,116458469,0
3745.85976,5649991,117289225,16
3746.714405,6103516,116611057,6
3747.056885,6739298,111728244,8
3747.596228,6290012,114203559,12
3749.824335,5823771,119035509,10
3751.307508,6353591,113983154,18
3753.036097,5777147,118628608,14
3753.259417,6256104,113220215,2
3753.798963,7430182,110727946,4
3754.488986,6718106,115831163,0
3755.857207,5683899,119205051,16
3756.716094,4993015,119086372,6
3757.059969,6209480,113593208,8
3757.595407,6476508,111897786,12
3759.821501,5955166,118747287,10
3761.408482,6408691,113220215,18
3763.036775,5764432,119272868,14
3763.382921,6001790,113983154,2
3763.825053,6802877,115814209,4
3764.489772,5887349,115865072,0
3765.857177,5908542,118696425,16
3766.714505,5772908,118577745,6
3767.056772,5840725,115712484,8
3767.596015,5980598,112016466,12
3769.822479,6082323,118526883,10
3771.395841,7315742,106811524,18
3773.03645,5048116,107201470,14
3773.258157,5806817,112355551,2
3773.825435,6226434,115576850,4
3774.49183,6340875,114864773,0
3776.716524,5908542,119205051,6
3777.058071,5692376,117763943,8
3777.596817,5628797,111338298,12
3779.825289,5268521,118967692,10
3780.081706,9706285,162302653,16
3781.308543,6925794,111592610,18
3783.037828,5187988,118442112,14
3783.25882,6565518,112898084,2
3783.867063,7226732,114864773,4
3784.489483,6747775,115186904,0
3785.860559,3980001,68461100,16
3786.714549,5828010,119137234,6
3787.055821,5925497,118984646,8
3787.595573,5781386,111321343,12
3789.892977,6306966,114661323,10
3791.31044,6883410,112931994,18
3793.03672,5043878,118238661,14
3793.25725,6171333,112491184,2
3793.801559,6035699,112084283,4
3794.491304,6251865,115068223,0
3796.402597,6735060,113898384,16
3796.716226,5878872,117560493,6
3797.058469,5382961,118543837,8
3797.596669,5904304,111100939,12
3799.823381,6650289,113152398,10
3801.308549,5747477,112169053,18
3803.037639,5539788,117882622,14
3803.258927,6400214,110168457,2
3803.803329,6213718,111880832,4
3804.488444,6374783,113949246,0
3805.857196,5772908,114407009,16
3806.715631,6518894,114949544,6
3807.057487,5404155,118323432,8
3807.595346,5251566,112982856,12
3809.827271,6501939,114305284,10
3811.308653,5878872,111575657,18
3813.036772,6039937,117390951,14
3813.375502,6654527,111880832,2
3813.825322,6006028,119340685,4
3814.490874,6340875,112491184,0
3815.858505,5832249,118204753,16
3816.716873,4988777,112948948,6
3817.058086,5730523,119222005,8
3817.593167,5501641,113033718,12
3819.904455,6353590,116373698,10
3821.31004,7158915,110270182,18
3823.039771,7214016,112508138,14
3823.380746,5853441,111626520,2
3823.801801,6192526,115356445,4
3824.48832,5997552,117085775,0
3826.212912,7531908,114780002,16
3826.71657,6752014,101945665,6
3827.059507,5603366,118645562,8
3827.592038,5556743,112474230,12
3829.825908,7722643,114576552,10
3831.310685,6201003,110897488,18
3833.037689,6442600,113830566,14
3833.257895,6408692,110592312,2
3833.796006,5527072,115136041,4
3834.491504,6849501,111321343,0
3835.857829,5387200,102369520,16
3836.716463,6078084,113440619,6
3837.058132,6578234,114220513,8
3837.593383,5183749,112101237,12
3839.825388,6281535,115441216,10
3841.307605,6480747,110778809,18
3843.039411,6930034,113288032,14
3843.794855,5997552,113644070,4
3844.151877,6535848,123155382,2
3844.491966,6501939,117102729,0
3845.860275,5137125,114152697,16
3846.715391,5594889,118442112,6
3847.057289,6726583,111626520,8
3847.593792,5675422,111033121,12
3849.824108,6315443,113321940,10
3851.307785,5844964,113542345,18
3853.03619,5933973,115254720,14
3853.817762,4950629,113203261,4
3853.924125,7061428,114135742,2
3854.490119,6518894,112915039,0
3855.858201,6531610,115949842,16
3856.702664,6985135,114593506,6
3857.059387,6752014,112643771,8
3857.595258,5077786,113254124,12
3859.824876,5768670,112084283,10
3861.448566,5857679,114508735,18
3863.038095,6629096,115644667,14
3863.482481,5828010,101843940,2
3863.794278,5429586,112101236,4
3864.487464,6811354,113610162,0
3865.858471,6069607,113915338,16
3866.990774,6980896,128190782,6
3867.059064,6531609,113152398,8
3867.594924,4916721,111863878,12
3869.824631,5717808,113898383,10
3871.307119,6082323,114474826,18
3873.038586,6684198,111236572,14
3873.316254,6315443,116746690,2
3873.7851,5171034,102996827,4
3874.490501,6239149,112186008,0
3875.857757,6391737,112915039,16
3876.71736,5510118,100674099,6
3877.058021,6917318,114254422,8
3877.595774,5938212,112643771,12
3879.824606,6133185,112253825,10
3881.306326,5488925,114169651,18
3883.036987,6663004,115424262,14
3883.258462,7214017,116356744,2
3883.795518,6048415,112542046,4
3884.490538,6209480,117017958,0
3885.858006,6951226,115746392,16
3886.717291,5832248,116678874,6
3887.058158,6663004,115339491,8
3887.594558,4492866,112711589,12
3889.824374,5416870,112965902,10
3891.624828,6722345,115373399,18
3893.036522,5544027,115407308,14
3893.258842,6976657,116916233,2
3893.796544,5285475,112559001,4
3894.491358,6523132,117679172,0
3895.861312,6874933,115644667,16
